,PMID,LastName,ForeName,Initials,Affiliation
0,1,"['Makar', 'McMartin', 'Palese', 'Tephly']","['A B', 'K E', 'M', 'T R']","['AB', 'KE', 'M', 'TR']",
1,2,"['Bose', 'Sarma']","['K S', 'R H']","['KS', 'RH']",
2,3,"['Smith', 'Bryant']","['R J', 'R G']","['RJ', 'RG']",
3,4,"['Wiesmann', 'DiDonato', 'Herschkowitz']","['U N', 'S', 'N N']","['UN', 'S', 'NN']",
4,5,"['Hendrickson', 'Ward']","['W A', 'K B']","['WA', 'KB']",
5,6,"['Chow', 'Pietranico', 'Mukerji']","['Y W', 'R', 'A']","['YW', 'R', 'A']",
6,7,"['Anderson', 'Slotkin']","['T R', 'T A']","['TR', 'TA']",
7,8,"['Moroi', 'Sato']","['K', 'T']","['K', 'T']",
8,9,"['Marniemi', 'Parkki']","['J', 'M G']","['J', 'MG']",
9,10,"['Schmoldt', 'Benthe', 'Haberland']","['A', 'H F', 'G']","['A', 'HF', 'G']",
10,11,['Lefkowitz'],['R J'],['RJ'],
11,12,['Stein'],['J M'],['JM'],
12,13,"['Järvisalo', 'Saris']","['J', 'N E']","['J', 'NE']",
13,14,"['Bhagwat', 'Ramachandran']","['V M', 'B V']","['VM', 'BV']",
14,15,"['Akamatsu', 'Nakajima', 'Ono', 'Miura']","['N', 'H', 'M', 'Y']","['N', 'H', 'M', 'Y']",
15,16,"['Turner', 'Hick']","['A J', 'P E']","['AJ', 'PE']",
16,17,"['Renaud', 'Buda', 'Lewis', 'Pujol']","['B', 'M', 'B D', 'J F']","['B', 'M', 'BD', 'JF']",
17,18,"['Ris', 'Deitrich', 'Von Wartburg']","['M M', 'R A', 'J P']","['MM', 'RA', 'JP']",
18,19,"['Halaris', 'Belendiuk', 'Freedman']","['A E', 'K T', 'D X']","['AE', 'KT', 'DX']",
19,20,"['Barthel', 'Markwardt']","['W', 'F']","['W', 'F']",
20,21,"['Isaac', 'Thiemer']","['O', 'K']","['O', 'K']",
21,22,"['Ardenne', 'Reitnauer']","['M', 'P G']","['M', 'PG']",
22,23,"['Flohr', 'Breull']","['H', 'W']","['H', 'W']",
23,24,"['Kröger', 'Donner', 'Skiello']","['H', 'I', 'G']","['H', 'I', 'G']",
24,25,"['Coscia', 'Causa', 'Giuliani', 'Nunziata']","['L', 'P', 'E', 'A']","['L', 'P', 'E', 'A']",
25,26,"['Scherberger', 'Kaess', 'Brückner']","['R R', 'H', 'S']","['RR', 'H', 'S']",
26,27,['Conway'],['C M'],['CM'],
27,28,"['Thornton', 'Harrison']","['J A', 'M J']","['JA', 'MJ']",
28,29,"['Maneksha', 'Harry']","['S', 'T V']","['S', 'TV']",
29,30,"['Mier', 'van den Hurk']","['P D', 'J J']","['PD', 'JJ']",
30,31,"['Mier', 'van den Hurk']","['P D', 'J J']","['PD', 'JJ']",
31,32,"['Beck', 'Freihaut', 'Henry', 'Pierce', 'Bayer']","['M L', 'B', 'R', 'S', 'W L']","['ML', 'B', 'R', 'S', 'WL']",
32,33,"['Corrocher', 'Tedesco', 'Rabusin', 'De Sandre']","['R', 'F', 'P', 'G']","['R', 'F', 'P', 'G']",
33,34,"['Warth', 'Desforges']","['J', 'J F']","['J', 'JF']",
34,35,"['Worathumrong', 'Grimes']","['N', 'A J']","['N', 'AJ']",
35,36,"['Orskov', 'Fraser']","['E R', 'C']","['ER', 'C']",
36,37,"['Hattori', 'Frazier', 'Miles']","['M', 'J', 'H T']","['M', 'J', 'HT']",
37,38,"['Garner', 'Behal']","['C W', 'F J']","['CW', 'FJ']",
38,39,['Sanner'],['T'],['T'],
39,40,"['Roskoski', 'Lim', 'Roskoski']","['R', 'C T', 'L M']","['R', 'CT', 'LM']",
40,41,"['Stellwagen', 'Babul']","['E', 'J']","['E', 'J']",
41,42,"['Duggleby', 'Kaplan']","['R G', 'H']","['RG', 'H']",
42,43,"['Gilbert', ""O'Leary""]","['H F', 'M H']","['HF', 'MH']",
43,44,['McPhie'],['P'],['P'],
44,45,"['Peterson', 'Gleisner', 'Blakley']","['D L', 'J M', 'R L']","['DL', 'JM', 'RL']",
45,46,"['Baccanari', 'Phillips', 'Smith', 'Sinski', 'Burchall']","['D', 'A', 'S', 'D', 'J']","['D', 'A', 'S', 'D', 'J']",
46,47,"['Hartman', 'LaMuraglia', 'Tomozawa', 'Wolfenden']","['F C', 'G M', 'Y', 'R']","['FC', 'GM', 'Y', 'R']",
47,48,"['Ferren', 'Ward', 'Campbell']","['L G', 'R L', 'B J']","['LG', 'RL', 'BJ']",
48,49,"['Hodgson', 'Fridovich']","['E K', 'I']","['EK', 'I']",
49,50,"['Jaton', 'Huser', 'Blatt', 'Pecht']","['J C', 'H', 'Y', 'I']","['JC', 'H', 'Y', 'I']",
50,51,"['Jaton', 'Huser', 'Braun', 'Givol', 'Pecht', 'Schlessinger']","['J C', 'H', 'D G', 'D', 'I', 'J']","['JC', 'H', 'DG', 'D', 'I', 'J']",
51,52,['Fahnestock'],['S R'],['SR'],
52,53,"['van Dam-Mieras', 'Slotboom', 'Pieterson', 'de Haas']","['M C', 'A J', 'W A', 'G H']","['MC', 'AJ', 'WA', 'GH']",
53,54,"['Martin', 'Luthra', 'Wells', 'Watts', 'Hanahan']","['J K', 'M G', 'M A', 'R P', 'D J']","['JK', 'MG', 'MA', 'RP', 'DJ']",
54,55,"['Mockrin', 'Byers', 'Koshland']","['S C', 'L D', 'D E']","['SC', 'LD', 'DE']",
55,56,"['Goss', 'Parkhurst', 'Görisch']","['D J', 'L J', 'H']","['DJ', 'LJ', 'H']",
56,57,"['Cassatt', 'Marini', 'Bender']","['J C', 'C P', 'J W']","['JC', 'CP', 'JW']",
57,58,"['Balerna', 'Fosset', 'Chicheportiche', 'Romey', 'Lazdunski']","['M', 'M', 'R', 'G', 'M']","['M', 'M', 'R', 'G', 'M']",
58,59,"['Shanmugam', 'Chan', 'Morandi']","['K T', 'I', 'C']","['KT', 'I', 'C']",
59,60,"['Butler', 'Jayson', 'Swallow']","['J', 'G G', 'A J']","['J', 'GG', 'AJ']",
60,61,"['Haveman', 'Lavorel']","['J', 'J']","['J', 'J']",
61,62,"['Van Gorkom', 'Pulles', 'Wessels']","['H J', 'M P', 'J S']","['HJ', 'MP', 'JS']",
62,63,"['Galliard', 'Phillips', 'Matthew']","['T', 'D R', 'J A']","['T', 'DR', 'JA']",
63,64,"['Caras', 'Shapiro']","['I', 'B']","['I', 'B']",
64,65,"['Ali', 'Elliott']","['S S', 'W H']","['SS', 'WH']",
65,66,"['Koivula', 'Koivusalo']","['T', 'M']","['T', 'M']",
66,67,"['Fluck', 'Jaffe']","['R A', 'M J']","['RA', 'MJ']",
67,68,"['Wan', 'Horvath']","['H', 'C']","['H', 'C']",
68,69,"['Tominaga', 'Tsujisaka']","['Y', 'Y']","['Y', 'Y']",
69,70,"['Hultberg', 'Lundblad', 'Masson', 'Ockerman']","['B', 'A', 'P K', 'P A']","['B', 'A', 'PK', 'PA']",
70,71,"['Yoshimura', 'Suzuki']","['F', 'T']","['F', 'T']",
71,72,"['Elgart', 'Gusovsky', 'Rosenberg']","['E S', 'T', 'M D']","['ES', 'T', 'MD']",
72,73,"['Pfister', 'Schaub', 'Watterson', 'Knecht', 'Waser']","['M', 'M C', 'J G', 'M', 'P G']","['M', 'MC', 'JG', 'M', 'PG']",
73,74,"['Moroff', 'Brandt']","['G', 'K G']","['G', 'KG']",
74,75,"['Tan', 'Nuttall']","['A W', 'F Q']","['AW', 'FQ']",
75,76,"['Kumar', 'Tao']","['R', 'M']","['R', 'M']",
76,77,"['Chegwidden', 'Watts']","['W R', 'D C']","['WR', 'DC']",
77,78,"['Kaizu', 'Margolius']","['T', 'H S']","['T', 'HS']",
78,79,"['Scheller', 'Jänchen', 'Lampe', 'Prümke', 'Blanck', 'Palecek']","['F', 'M', 'J', 'H J', 'J', 'E']","['F', 'M', 'J', 'HJ', 'J', 'E']",
79,80,"['Baghurst', 'Nichol']","['P A', 'L W']","['PA', 'LW']",
80,81,"['Giangrande', 'Kim', 'Mizukami']","['M', 'Y W', 'H']","['M', 'YW', 'H']",
81,82,"['Fee', 'Phillips']","['J A', 'W D']","['JA', 'WD']",
82,83,"['Asakura', 'Adachi', 'Shapiro', 'Friedman', 'Schwartz']","['T', 'K', 'M', 'S', 'E']","['T', 'K', 'M', 'S', 'E']",
83,84,"['Andonian', 'Barrett', 'Vinogradov']","['M R', 'A S', 'S N']","['MR', 'AS', 'SN']",
84,85,"['Megerman', 'Murphy']","['J', 'R A']","['J', 'RA']",
85,86,"['Meighen', 'Yue']","['E', 'R']","['E', 'R']",
86,87,"['Wrightstone', 'Smith', 'Wilson', 'Vella', 'Huisman']","['R N', 'L L', 'J B', 'F', 'T H']","['RN', 'LL', 'JB', 'F', 'TH']",
87,88,"['Imai', 'Lehmann']","['K', 'H']","['K', 'H']",
88,89,"['Aronson', 'Yannarell']","['N N', 'A']","['NN', 'A']",
89,90,['Kimelberg'],['H K'],['HK'],
90,91,"['Nieto', 'Muñoz', 'Carreira', 'Andreu']","['M', 'E', 'J', 'J M']","['M', 'E', 'J', 'JM']",
91,92,"['Heller', 'Edelstein', 'Mayer']","['M', 'P', 'M']","['M', 'P', 'M']",
92,93,"['Alekseeva', 'Lapina', 'Tulovskaia', 'Izmaĭlova']","['I G', 'G P', 'Z D', 'V N']","['IG', 'GP', 'ZD', 'VN']",
93,96,"['Nitta', 'Yoneyama']","['K', 'M']","['K', 'M']",
94,94,"['Dobretsov', 'Kharitonenkov', 'Mishiev', 'Vladimirov']","['G E', 'I G', 'V E', 'Iu A']","['GE', 'IG', 'VE', 'IuA']",
95,97,['Koenigs'],['J W'],['JW'],
96,95,"['Konev', 'Katibnikov', 'Bandarin', 'Niamaa', 'Barkovskiĭ']","['S V', 'M A', 'V A', 'D', 'E V']","['SV', 'MA', 'VA', 'D', 'EV']",
97,98,['Mandels'],['M'],['M'],
98,99,"['Gehler', 'Cantz', ""O'Brien"", 'Tolksdorf', 'Spranger']","['J', 'M', 'J F', 'M', 'J']","['J', 'M', 'JF', 'M', 'J']",
99,100,"['Jolly', 'Thompson', 'Winchester']","['R D', 'K G', 'B G']","['RD', 'KG', 'BG']",
100,101,"['Di Ferrante', 'Leachman', 'Angelini', 'Donnelly', 'Francis', 'Almazan', 'Segni', 'Franzblau', 'Jordan']","['N', 'R D', 'P', 'P V', 'G', 'A', 'G', 'C', 'R E']","['N', 'RD', 'P', 'PV', 'G', 'A', 'G', 'C', 'RE']",
101,102,"['Ng', 'Donnell', 'Koch', 'Bergren']","['W G', 'G N', 'R', 'W R']","['WG', 'GN', 'R', 'WR']",
102,103,"['Kulik', ""Kondrat'eva""]","['A M', 'L N']","['AM', 'LN']",
103,104,"['Natsiuk', 'Chekman']","['M V', 'I S']","['MV', 'IS']",
104,105,"['Barkov', 'Ostrovskaia']","['N K', 'R U']","['NK', 'RU']",
105,106,['Frantsuzova'],['S B'],['SB'],
106,107,"['Sandhu', 'Nelson', 'Warren']","['S S', 'P', 'W J']","['SS', 'P', 'WJ']",
107,108,['Lachmajer'],['J'],['J'],
108,109,['Kersten'],['E'],['E'],
109,110,"['Sturges', 'Brown']","['S', 'M']","['S', 'M']",
110,112,['Kemble'],['J V'],['JV'],
111,113,"['Richardson', 'Withrington']","['P D', 'P G']","['PD', 'PG']",
112,111,['Robert'],['M'],['M'],
113,114,"['Finch', 'Hicks']","['L', 'P E']","['L', 'PE']",
114,115,"['Renaud', 'Kelly']","['L P', 'J S']","['LP', 'JS']",
115,116,"['Grundy', 'Grundy']","['H C', 'H F']","['HC', 'HF']",
116,117,['Heazell'],['M A'],['MA'],
117,118,"['Osborn', 'Jenkinson']","['D', 'D H']","['D', 'DH']",
118,119,"['Donaldson', 'Dolphin', 'Jenner', 'Mardsen', 'Pycock']","['I', 'A', 'P', 'C K', 'C']","['I', 'A', 'P', 'CK', 'C']",
119,120,"['Crow', 'Deakin', 'Longden']","['T J', 'J F', 'A']","['TJ', 'JF', 'A']",
120,121,"['Marriott', 'Skingle', 'Tyers']","['A S', 'M', 'M B']","['AS', 'M', 'MB']",
121,122,"['Zelikovski', 'Abu-Dalu', 'Urca']","['A', 'J', 'I']","['A', 'J', 'I']",
122,123,"['Keighley', 'Asquith', 'Edwards', 'Alexander-Williams']","['M R', 'P', 'J A', 'J']","['MR', 'P', 'JA', 'J']",
123,124,"['Lorkin', 'Stephens', 'Beard', 'Wrigley', 'Adams', 'Lehmann']","['P A', 'A D', 'M E', 'P F', 'L', 'H']","['PA', 'AD', 'ME', 'PF', 'L', 'H']",
124,125,"['Classen', 'Safrany']","['M', 'L']","['M', 'L']",
125,126,"['Lloyd', 'Deakin']","['G', 'H G']","['G', 'HG']",
126,127,,,,
127,128,"['Sonnhof', 'Grafe', 'Krumnikl', 'Linder', 'Schindler']","['U', 'P', 'J', 'M', 'L']","['U', 'P', 'J', 'M', 'L']",
128,129,"['Baker', 'Dowdall', 'Whittaker']","['R R', 'M J', 'V P']","['RR', 'MJ', 'VP']",
129,130,"['Spatz', 'Renkawek', 'Murray', 'Klatzo']","['M', 'K', 'M R', 'I']","['M', 'K', 'MR', 'I']",
130,131,['Burdon'],['R H'],['RH'],
131,132,"['Sodipo', 'Lee', 'Morris']","['J O', 'D C', 'L E']","['JO', 'DC', 'LE']",
132,133,"['Fook', 'Ranadive', 'Basu']","['T J', 'N S', 'P K']","['TJ', 'NS', 'PK']",
133,134,"['Jansen', 'Russell', 'Chernick']","['A H', 'B J', 'V']","['AH', 'BJ', 'V']",
134,135,"['Griffin', 'Hora', 'Baker']","['G J', 'T S', 'R']","['GJ', 'TS', 'R']",
135,136,"['McCalla', 'Olive', 'Tu', 'Fan']","['D R', 'P', 'Y', 'M L']","['DR', 'P', 'Y', 'ML']",
136,137,"['Day', 'Yaphe']","['D F', 'W']","['DF', 'W']",
137,138,['Rosenberg'],['S L'],['SL'],
138,139,['Kelley'],['W D'],['WD'],
139,140,['Laishley'],['E J'],['EJ'],
140,141,"['Jurtshuk', 'McEntire']","['P', 'J E']","['P', 'JE']",
141,142,"['Jordan', 'Lechevalier']","['M J', 'M P']","['MJ', 'MP']",
142,143,['Sloane'],['N H'],['NH'],
143,144,"['Esterbauer', 'Sanders', 'Schubert']","['H', 'E B', 'J']","['H', 'EB', 'J']",
144,145,"['Binnion', 'Das Gupta']","['P F', 'R']","['PF', 'R']",
145,146,"['Reinis', 'Lojda', 'Heyrovský', 'Horáková', 'Reisenauer']","['Z', 'Z', 'A', 'D', 'R']","['Z', 'Z', 'A', 'D', 'R']",
146,147,"['Theodor', 'Senelar']","['J L', 'R']","['JL', 'R']",
147,148,"['Autrup', 'Thurlow', 'Warwick']","['H', 'B J', 'G P']","['H', 'BJ', 'GP']",
148,149,"['Autrup', 'Warwick']","['H', 'G P']","['H', 'GP']",
149,150,['Donaldson'],['W E'],['WE'],
150,151,"['Dumarey', 'Sket', 'Joseph', 'Boquet']","['C', 'D', 'D', 'P']","['C', 'D', 'D', 'P']",
151,152,"['Dupont', 'Dupont', 'Milon', 'Froment']","['J', 'J C', 'H', 'A']","['J', 'JC', 'H', 'A']",
152,153,"['Fitch', 'MacKenzie', 'Harper']","['W', 'E T', 'A M']","['W', 'ET', 'AM']",
153,154,"['Bucens', 'Pain']","['D', 'M C']","['D', 'MC']",
154,155,"['Vatner', 'McRitchie']","['S F', 'R J']","['SF', 'RJ']",
155,156,"['Neely', 'Whitmer', 'Rovetto']","['J R', 'J T', 'M J']","['JR', 'JT', 'MJ']",
156,157,"['Rovetto', 'Lamberton', 'Neely']","['M J', 'W F', 'J R']","['MJ', 'WF', 'JR']",
157,158,"['Urthaler', 'Walker', 'Hefner', 'James']","['F', 'A A', 'L L', 'T N']","['F', 'AA', 'LL', 'TN']",
158,159,"['Barlow', 'Naghizadeh', 'King']","['D', 'F', 'J']","['D', 'F', 'J']",
159,160,"['Matusik', 'Gibson']","['E', 'T P']","['E', 'TP']",
160,161,"['Pesce', 'Bodourian', 'Nicholson']","['M A', 'S H', 'J F']","['MA', 'SH', 'JF']",
161,162,"['Spiekerman', 'Hetherly', 'Hall']","['A M', 'M E', 'F F']","['AM', 'ME', 'FF']",
162,163,"['Bowers', 'McComb']","['G N', 'R B']","['GN', 'RB']",
163,164,"['Shapira', 'Nadler']","['E', 'H L']","['E', 'HL']",
164,165,"['Tamaoki', 'Minato', 'Takei', 'Fujisawa']","['H', 'S', 'S', 'K']","['H', 'S', 'S', 'K']",
165,166,['Suzuki'],['Y'],['Y'],
166,167,['Losse'],['H'],['H'],
167,169,"['Zepp', 'Thomas', 'Knotts']","['E A', 'J A', 'G R']","['EA', 'JA', 'GR']",
168,170,"['Worathumrong', 'Grimes']","['N', 'A J']","['N', 'AJ']",
169,171,"['Clancy', 'Critchley', 'Leitch', 'Kirby', 'Ungar', 'Flenley']","['L J', 'J A', 'A G', 'B J', 'A', 'D C']","['LJ', 'JA', 'AG', 'BJ', 'A', 'DC']",
170,168,"['Modig', 'Busch', 'Waernbaum']","['J', 'C', 'G']","['J', 'C', 'G']",
171,172,"['Duke', 'Evanson', 'Jegers']","['G E', 'O A', 'A']","['GE', 'OA', 'A']",
172,173,"['Fänge', 'Lidman']","['R', 'U']","['R', 'U']",
173,174,"['James', 'Meek']","['N T', 'G A']","['NT', 'GA']",
174,175,['Gasaway'],['W C'],['WC'],
175,176,"['Popper', 'Clarke']","['A N', 'N L']","['AN', 'NL']",
176,177,['Gasaway'],['W C'],['WC'],
177,178,"['Lerner', 'Kratzer']","['J', 'F H']","['J', 'FH']",
178,179,['Fyhn'],['H J'],['HJ'],
179,180,['Spaargaren'],['D H'],['DH'],
180,181,"['Voigt', 'Johnson']","['W G', 'C R']","['WG', 'CR']",
181,182,"['Wright', 'Wright']","['E A', 'A A']","['EA', 'AA']",
182,183,"['Baverstock', 'Spencer', 'Pollard']","['P R', 'L', 'C']","['PR', 'L', 'C']",
183,184,['Dennis'],['R D'],['RD'],
184,185,"['Lindqvist', 'Fitzgerald']","['O V', 'G']","['OV', 'G']",
185,186,"['Iriki', 'Murata', 'Nagai', 'Tsuchiya']","['M', 'S', 'M', 'K']","['M', 'S', 'M', 'K']",
186,187,"['Scott', 'Mazurkiewicz', 'Leeman']","['D M', 'M', 'P']","['DM', 'M', 'P']",
187,188,"['Jacob', 'McDonald']","['J S', 'H S']","['JS', 'HS']",
188,189,['Courtois'],['L A'],['LA'],
189,190,"['Idler', 'Burton']","['D R', 'M P']","['DR', 'MP']",
190,191,['Cochran'],['D G'],['DG'],
191,192,['Clegg'],['J S'],['JS'],
192,193,['Clegg'],['J S'],['JS'],
193,194,"['Isaacks', 'Harkness', 'Froeman', 'Sussman']","['R E', 'D R', 'G A', 'S A']","['RE', 'DR', 'GA', 'SA']",
194,195,"['Urakabe', 'Takamitsu', 'Shirai', 'Yuasa', 'Kimura']","['S', 'Y', 'D', 'S', 'G']","['S', 'Y', 'D', 'S', 'G']",
195,196,"['Huijbregts', 'Schreurs']","['L A', 'M']","['LA', 'M']",
196,197,"['Storesund', 'Helle']","['A', 'K B']","['A', 'KB']",
197,198,"['Zeman', 'Carpenter']","['G H', 'D O']","['GH', 'DO']",
198,199,['Kleinhaus'],['A L'],['AL'],
199,200,"['El Halawani', 'Waibel']","['M E', 'P E']","['ME', 'PE']",
200,201,"['Chow', 'Chan']","['P H', 'D K']","['PH', 'DK']",
201,202,"['Bennett', 'Malmfors']","['T', 'T']","['T', 'T']",
202,203,"['Grega', 'Sherman']","['D S', 'R G']","['DS', 'RG']",
203,204,"['Daoud', 'Usherwood']","['A', 'P N']","['A', 'PN']",
204,205,"['Fingerman', 'Fingerman']","['M', 'S W']","['M', 'SW']",
205,206,['Hansen'],['D'],['D'],
206,207,"['Smith', 'Fitzsimons', 'Loker', 'Walker']","['P A', 'J T', 'J E', 'R J']","['PA', 'JT', 'JE', 'RJ']",
207,208,['Olowo-Okorun'],['M O'],['MO'],
208,209,"['Froese', 'Sehon']","['A', 'A H']","['A', 'AH']",
209,211,"['Gmaj', 'Hoppe', 'Angielski', 'Rogulski', 'Metler']","['P', 'A', 'S', 'J', 'M']","['P', 'A', 'S', 'J', 'M']",
210,212,"['Stepiński', 'Angielski']","['J', 'S']","['J', 'S']",
211,210,"['Yakaitis', 'Thomas', 'Mahaffey']","['R W', 'J D', 'J E']","['RW', 'JD', 'JE']",
212,213,"['Angielski', 'Rogulski']","['S', 'J']","['S', 'J']",
213,214,"['Harrison', 'Thompson']","['T S', 'N W']","['TS', 'NW']",
214,215,"['Guevara', 'Sukerman', 'Velasco']","['J', 'M', 'M']","['J', 'M', 'M']",
215,216,['Szpringer'],['M'],['M'],
216,217,['Shah'],['P M'],['PM'],
217,218,"['Kawai', 'Yamada', 'Tsuneda', 'Aoyagi', 'Mikata']","['T', 'Y', 'J', 'T', 'A']","['T', 'Y', 'J', 'T', 'A']",
218,219,,,,
219,220,"['Zellner', 'Taubert', 'Wegener']","['P R', 'I', 'K']","['PR', 'I', 'K']",
220,222,['Golovistikov'],['I N'],['IN'],
221,223,"['Berezin', ""Kershengol'ts"", 'Ugarova']","['I V', 'B M', 'N N']","['IV', 'BM', 'NN']",
222,224,['Stängle'],['H'],['H'],
223,221,"['Kakpakov', 'Polukarova']","['V T', 'L G']","['VT', 'LG']",
224,225,"['Bohlen', 'Hertl']","['N', 'M']","['N', 'M']",
225,226,"['Rogol', 'Ben-David', 'Sheats', 'Rodbard', 'Chrambach']","['A D', 'M', 'R', 'D', 'A']","['AD', 'M', 'R', 'D', 'A']",
226,227,"['Hummel', 'Brown', 'Hwang', 'Friesen']","['B C', 'G M', 'P', 'H G']","['BC', 'GM', 'P', 'HG']",
227,228,"['Eickenroht', 'Gause', 'Rowlands']","['E Y', 'E M', 'J R']","['EY', 'EM', 'JR']",
228,229,['Kreuzer'],['W'],['W'],
229,230,"['Schöllhammer', 'Poll', 'Bickel']","['I', 'D S', 'M H']","['I', 'DS', 'MH']",
230,231,['Hems'],['D A'],['DA'],
231,232,"['Adjarov', 'Popov', 'Ivanov']","['D', 'S', 'E']","['D', 'S', 'E']",
232,233,"['Ivanov', 'Krustev', 'Adjarov', 'Chernev', 'Apostolov', 'Dimitrov', 'Drenska', 'Stefanova', 'Pramatarova']","['E', 'L', 'D', 'K', 'I', 'P', 'E', 'M', 'V']","['E', 'L', 'D', 'K', 'I', 'P', 'E', 'M', 'V']",
233,234,"['Bonner', 'Tate', 'Buffington']","['H W', 'C A', 'C K']","['HW', 'CA', 'CK']",
234,235,['Halliwell'],['B'],['B'],
235,236,"['Chiancone', 'Norne', 'Forsén', 'Bonaventura', 'Brunori', 'Antonini', 'Wyman']","['E', 'J E', 'S', 'J', 'M', 'E', 'J']","['E', 'JE', 'S', 'J', 'M', 'E', 'J']",
236,237,"['Riebeling', 'Thauer', 'Jungermann']","['V', 'R K', 'K']","['V', 'RK', 'K']",
237,238,"['Martin', 'Maskos', 'Burger']","['H H', 'C', 'R']","['HH', 'C', 'R']",
238,239,['Apps'],['D K'],['DK'],
239,240,"['Cingolani', 'Maas', 'Zimmerman', 'Meijler']","['H E', 'A J', 'A N', 'F L']","['HE', 'AJ', 'AN', 'FL']",
240,241,"['Schomerus', 'Buchta', 'Arndt']","['H', 'I', 'H']","['H', 'I', 'H']",
241,242,"['Paul', 'Epel']","['M', 'D']","['M', 'D']",
242,243,"['Michalopoulos', 'Pitot']","['G', 'H C']","['G', 'HC']",
243,244,['Schmid'],['V'],['V'],
244,245,"['Furuno', 'Matsudaira']","['I', 'H']","['I', 'H']",
245,246,"['Connolly', 'Oppenheimer']","['D T', 'S B']","['DT', 'SB']",
246,247,['Collier'],['J R'],['JR'],
247,248,['Wood'],['S'],['S'],
248,249,"['Bossart', 'Loeffler', 'Bienz']","['W', 'H', 'K']","['W', 'H', 'K']",
249,250,"['Dunn', 'Napier']","['C D', 'J A']","['CD', 'JA']",
250,251,"['Chimenti', 'Vomero']","['F', 'S']","['F', 'S']",
251,253,['Sorokin'],['N N'],['NN'],
252,252,['Volozhin'],['S I'],['SI'],
253,254,['Kiselev'],['A F'],['AF'],
254,255,['Shibaeva'],['A N'],['AN'],
255,256,"['Galakhov', 'Zhiliaeva']","['E V', 'E P']","['EV', 'EP']",
256,257,"['Sobolev', 'Pevnyĭ']","['V I', 'S A']","['VI', 'SA']",
257,258,['Zourlas'],['P A'],['PA'],
258,259,"['Antonovski', 'Ljatkova', 'Sukarov', 'Brenner', 'Edelman', 'Bernard']","['L', 'K', 'L L', 'W E', 'D A', 'R P']","['L', 'K', 'LL', 'WE', 'DA', 'RP']",
259,260,"['Chan', 'Ong', 'Wong']","['W F', 'H C', 'W P']","['WF', 'HC', 'WP']",
260,261,['Roberts'],['G C'],['GC'],
261,262,"['McLennan', 'Keir']","['A G', 'H M']","['AG', 'HM']",
262,263,"['Jeremy', 'Davies']","['R', 'H']","['R', 'H']",
263,264,"['Dunn', 'Trigg']","['D B', 'M M']","['DB', 'MM']",
264,265,"['Fry', 'Ngaha', 'Plummer']","['M', 'E O', 'D T']","['M', 'EO', 'DT']",
265,266,"['Okamura', 'Okazaki', 'Nakajima']","['H', 'T', 'A']","['H', 'T', 'A']",
266,267,['Imamura'],['K'],['K'],
267,268,"['Moore', 'Burford', 'Lederis']","['G', 'G', 'K']","['G', 'G', 'K']",
268,269,"['Gluecksohn-Waelsch', 'Schiffman']","['S', 'M B']","['S', 'MB']",
269,270,"['Ledbetter', 'Hotchkiss']","['M L', 'R D']","['ML', 'RD']",
270,271,"['Ledbetter', 'Hotchkiss']","['M L', 'R D']","['ML', 'RD']",
271,272,"['Rozniecki', 'Grabski']","['J', 'W']","['J', 'W']",
272,273,"['Scott', 'Hardy', 'Losowsky']","['B B', 'G J', 'M S']","['BB', 'GJ', 'MS']",
273,274,"['Maffei', 'Nóbrega']","['H V', 'F J']","['HV', 'FJ']",
274,275,"['Dicker', 'Löwenberg', 'Schaefer', 'van Bekkum']","['K A', 'B', 'U W', 'D W']","['KA', 'B', 'UW', 'DW']",
275,276,"['Dooren', 'de Koning', 'Kamphuis', 'Uittenbogaart', 'Brubakk', 'Vossen']","['L J', 'J', 'R P', 'C H', 'A M', 'J M']","['LJ', 'J', 'RP', 'CH', 'AM', 'JM']",
276,277,['Bichoński'],['R'],['R'],
277,278,"['Dozaki', 'Imai', 'Mizukami']","['T', 'K', 'S']","['T', 'K', 'S']",
278,279,['Koshiba'],['H'],['H'],
279,280,['Fukushima'],['T'],['T'],
280,281,['Nozaki'],['M'],['M'],
281,282,['Nozaki'],['M'],['M'],
282,283,"['Siddiqui', 'Banerjee']","['K A', 'A K']","['KA', 'AK']",
283,284,['Kohoutová'],['M'],['M'],
284,285,"['Zemek', 'Bílik', 'Zákutná']","['J', 'V', 'L']","['J', 'V', 'L']",
285,286,"['Panchenko', 'Fedotov', 'Tarshis']","['L F', 'N S', 'M A']","['LF', 'NS', 'MA']",
286,287,"['Kotyk', 'Michaljanicová', 'Veres', 'Soukupová']","['A', 'D', 'K', 'V']","['A', 'D', 'K', 'V']",
287,288,"['Elnaghy', 'Megalla']","['M A', 'S E']","['MA', 'SE']",
288,289,"['Ginterová', 'Janotková']","['A', 'O']","['A', 'O']",
289,290,"['Isomaa', 'Sjöblom']","['B', 'G']","['B', 'G']",
290,291,['von Ferber'],['L'],['L'],
291,292,['Kawamura'],['M'],['M'],
292,293,['Yamada'],['T'],['T'],
293,294,['Nakahara'],['M'],['M'],
294,295,['Philipps'],['G R'],['GR'],
295,296,"['Philipps', 'Chiemprasert']","['G R', 'T']","['GR', 'T']",
296,297,"['Koolman', 'Karlson']","['J', 'P']","['J', 'P']",
297,298,"['Powers', 'Powers']","['P S', 'H P']","['PS', 'HP']",
