,PMID,LastName,ForeName,Initials,Affiliation
2555,2669,"['Symes', 'Lal', 'Sourkes']","['A L', 'S', 'T L']","['AL', 'S', 'TL']",
2556,2670,"['Sugrue', 'Goodlet', 'McIndewar']","['M F', 'I', 'I']","['MF', 'I', 'I']",
2557,2671,"['Senior', 'Whalley']","['J', 'E T']","['J', 'ET']",
2558,2672,"['Hassan-Farghali', 'Assael', 'Bossi', 'Morselli']","[None, 'B M', 'L', 'P L']","[None, 'BM', 'L', 'PL']",
2559,2673,"['Baird-Lambert', 'Cohen']","['J', 'G']","['J', 'G']",
2560,2674,"['Humphreys', 'Smy']","['K J', 'J R']","['KJ', 'JR']",
2561,2675,"['Drouet', 'Davies', 'Lederer', 'McNicol']","['F H', 'T', 'D A', 'G P']","['FH', 'T', 'DA', 'GP']",
2562,2676,"['Picotti', 'Da Prada', 'Pletscher']","['G B', 'M', 'A']","['GB', 'M', 'A']",
2563,2677,"['Whelpton', 'Curry']","['R', 'S H']","['R', 'SH']",
2564,2678,['Ehrsson'],['H'],['H'],
2565,2679,"['Serfontein', 'De Villiers', 'Botha']","['W J', 'L S', 'D']","['WJ', 'LS', 'D']",
2566,2680,"['Lindberg', 'Bogentoft', 'Bondesson', 'Danielsson']","['C', 'C', 'U', 'B']","['C', 'C', 'U', 'B']",
2567,2681,"['Cole', 'Elworthy', 'Sucker']","['E T', 'P H', 'H']","['ET', 'PH', 'H']",
2568,2682,"['Rees', 'Collett']","['J A', 'J H']","['JA', 'JH']",
2569,2683,['Meakin'],['B J'],['BJ'],
2570,2684,['Eccleston'],['G M'],['GM'],
2571,2685,"['Harthill', 'Anderson', 'Baillie']","['J E', 'W', 'A J']","['JE', 'W', 'AJ']",
